Epoch,FID
9,284.61616336932076
19,243.16667597708812
29,239.31279664506098
39,152.92560569214623
49,171.6769494026026
59,132.36619574136938
69,140.1133801295037
79,113.16806823198306
89,123.14031150141167
99,127.7688618362996
109,105.78321936137817
119,119.7366032466897
129,112.25987796400318
139,101.51349251188475
149,97.99034395615743
159,95.35837291481408
169,118.97553485425323
179,107.61369849986488
189,103.09807316752472
199,117.77110078433384
209,98.98935468664598
219,113.76896577067305
229,99.29774415414346
239,101.83155513344656
249,107.54250787642135
259,98.7033000912389
269,103.470650871743
279,97.49068713832892
289,95.77052505428429
299,104.39951159516227
309,92.07447578924143
319,94.31804195544072
329,90.93214206131603
339,90.3674431909194
349,90.18986324632584
359,90.94634091043599
369,94.91446391449546
379,95.16080320324801
389,90.14020563001333
399,98.67543123220807
409,91.32245413034664
419,92.68772153097581
429,96.15370053704254
439,95.70233997480597
449,87.55212752038437
459,93.72685343229836
469,96.47165258155587
479,90.67835315034603
489,95.94843092103221
499,88.88334026219252
