epoch,intrinsic_dim,err1
9,5.497082536541793,0.0
19,9.504271575502615,0.0
29,11.030915270121115,0.0
39,12.623498210543215,0.0
49,12.763443809507713,0.0
59,15.658563180825432,0.0
69,14.79373277671843,0.0
79,14.000828869190665,0.0
89,16.370750292574474,0.0
99,14.967418428773987,0.0
109,15.497344850465922,0.0
119,17.44998472843062,0.0
129,18.018875874337333,0.0
139,20.43445438609974,0.0
149,20.162043450799636,0.0
159,22.861614672825283,0.0
169,21.702410323033458,0.0
179,21.17129813733017,0.0
189,22.756483114054294,0.0
199,20.74215936026412,0.0
